;Experimento 1;;;Experimento 2;;;Experimento 3;;;Experimento 4;;;Experimento 5;;;Experimento 6;;;Experimento 7;;;Experimento 8;;;Experimento 9;
delegado;memoria;tiempo;delegado;memoria;tiempo;Delegado;Memoria;Tiempo;Delegado;Memoria;Tiempo;delegado;Memoria;tiempo;delegado;memoria;tiempo;delegado;maquina;tiempo;delegado;memoria;tiempo;delegado;memoria;tiempo
delegado 154: ;5.1;9,35E+13;delegado 154: ;8.3;9,32E+13;delegado 154: ;2.2;1.03E+08;delegado 154: ;2.7;9,31E+14;delegado 154: ;5.3;9,76E+14;delegado 154: ;17.1;1,00E+16;delegado 154: ;3.7;9,86E+14;delegado 154: ;7.4;9,06E+14;delegado 154: ;1.7;9,01E+12
delegado 155: ;5.1;9,25E+14;delegado 155: ;8.3;9,23E+12;delegado 155: ;2.2;1.02E+08;delegado 155: ;2.7;9,10E+14;delegado 155: ;5.3;9,91E+14;delegado 155: ;17.1;9,86E+14;delegado 155: ;3.7;9,93E+14;delegado 155: ;7.4;9,47E+14;delegado 155: ;1.7;8,96E+14
delegado 156: ;5.1;8,86E+14;delegado 156: ;8.3;9,28E+12;delegado 156: ;2.2;9.08E+07;delegado 156: ;2.7;9,22E+14;delegado 156: ;5.3;9,94E+14;delegado 156: ;17.1;1,00E+16;delegado 156: ;3.7;9,10E+14;delegado 156: ;7.4;9,59E+14;delegado 156: ;1.7;8,93E+14
delegado 157: ;11.4;8,93E+14;delegado 157: ;6.1;9,19E+13;delegado 157: ;4.6;8.86E+07;delegado 157: ;3.9;1,05E+16;delegado 157: ;1.6;1,00E+16;delegado 157: ;3.8;9,94E+14;delegado 157: ;2.7;9,13E+14;delegado 157: ;9.5;9,49E+14;delegado 157: ;2.0;8,96E+14
delegado 158: ;11.4;8,98E+13;delegado 158: ;6.1;9,04E+14;delegado 158: ;4.6;9.10E+07;delegado 158: ;3.9;8,94E+14;delegado 158: ;1.6;1,00E+16;delegado 158: ;3.8;9,87E+14;delegado 158: ;2.7;8,87E+14;delegado 158: ;9.5;9,59E+14;delegado 158: ;2.0;9,35E+14
delegado 159: ;11.4;9,13E+14;delegado 159: ;6.1;9,24E+14;delegado 159: ;4.6;8.89E+07;delegado 159: ;3.9;9,43E+14;delegado 159: ;1.6;9,10E+14;delegado 159: ;3.8;9,30E+14;delegado 159: ;2.7;8,96E+14;delegado 159: ;9.5;9,62E+14;delegado 159: ;2.0;9,20E+14
delegado 160: ;7.3;9,08E+14;delegado 160: ;7.6;9,03E+14;delegado 160: ;7.1;9.06E+07;delegado 160: ;0.9;9,06E+14;delegado 160: ;1.4;9,11E+14;delegado 160: ;6.0;9,36E+14;delegado 160: ;4.2;8,92E+14;delegado 160: ;6.0;9,46E+14;delegado 160: ;0.6;9,41E+14
delegado 161: ;7.3;1,03E+16;delegado 161: ;7.6;9,25E+14;delegado 161: ;7.1;9.35E+07;delegado 161: ;0.9;9,03E+14;delegado 161: ;1.4;9,32E+14;delegado 161: ;6.0;9,35E+14;delegado 161: ;4.2;9,07E+14;delegado 161: ;6.0;9,22E+14;delegado 161: ;0.6;9,31E+14
delegado 162: ;7.3;1,05E+16;delegado 162: ;7.6;9,23E+14;delegado 162: ;7.1;9.11E+07;delegado 162: ;0.9;1,05E+15;delegado 162: ;1.4;9,18E+14;delegado 162: ;6.0;9,26E+14;delegado 162: ;4.2;8,36E+13;delegado 162: ;6.0;9,23E+14;delegado 162: ;0.6;9,12E+14
delegado 163: ;9.3;9,01E+14;delegado 163: ;7.9;9,37E+14;delegado 163: ;2.6;9.26E+07;delegado 163: ;5.4;1,02E+16;delegado 163: ;1.3;9,35E+14;delegado 163: ;8.2;9,21E+14;delegado 163: ;13.4;1,02E+16;delegado 163: ;11.1;9,11E+13;delegado 163: ;1.3;9,06E+14
delegado 164: ;9.3;1,05E+16;delegado 164: ;7.9;9,17E+14;delegado 164: ;2.6;9.32E+07;delegado 164: ;5.4;1,03E+16;delegado 164: ;1.3;9,10E+12;delegado 164: ;8.2;9,16E+14;delegado 164: ;13.4;1,02E+16;delegado 164: ;11.1;9,18E+14;delegado 164: ;1.3;9,12E+14
delegado 165: ;9.3;1,05E+16;delegado 165: ;7.9;9,22E+13;delegado 165: ;2.6;1.04E+08;delegado 165: ;5.4;1,03E+16;delegado 165: ;1.3;9,02E+12;delegado 165: ;8.2;9,21E+14;delegado 165: ;13.4;9,01E+14;delegado 165: ;11.1;9,38E+13;delegado 165: ;1.3;9,15E+14
delegado 166: ;9.3;1,00E+16;delegado 166: ;5.9;9,25E+14;delegado 166: ;3.1;8.86E+07;delegado 166: ;5.6;1,03E+16;delegado 166: ;4.4;9,03E+14;delegado 166: ;5.5;9,10E+14;delegado 166: ;3.0;1,05E+16;delegado 166: ;6.0;9,30E+14;delegado 166: ;0.9;9,10E+14
delegado 167: ;9.3;1,00E+16;delegado 167: ;5.9;9,18E+14;delegado 167: ;3.1;8.82E+07;delegado 167: ;5.6;1,04E+16;delegado 167: ;4.4;9,06E+14;delegado 167: ;5.5;9,12E+14;delegado 167: ;3.0;1,06E+15;delegado 167: ;6.0;9,28E+14;delegado 167: ;0.9;8,90E+14
delegado 168: ;9.3;1,02E+16;delegado 168: ;5.9;9,24E+12;delegado 168: ;3.1;9.13E+07;delegado 168: ;5.6;1,03E+16;delegado 168: ;4.4;9,08E+14;delegado 168: ;5.5;9,26E+14;delegado 168: ;3.0;9,32E+14;delegado 168: ;6.0;9,31E+14;delegado 168: ;0.9;9,09E+14
delegado 169: ;6.8;1,02E+16;delegado 169: ;5.5;9,23E+14;delegado 169: ;1.6;9.11E+07;delegado 169: ;5.9;1,00E+16;delegado 169: ;3.7;9,05E+14;delegado 169: ;8.4;9,23E+14;delegado 169: ;0.7;9,17E+14;delegado 169: ;7.9;9,35E+14;delegado 169: ;2.0;1,05E+16
delegado 170: ;6.8;1,03E+16;delegado 170: ;5.5;9,24E+14;delegado 170: ;1.6;8.95E+07;delegado 170: ;5.9;1,01E+15;delegado 170: ;3.7;1,03E+16;delegado 170: ;8.4;9,51E+14;delegado 170: ;0.7;1,02E+16;delegado 170: ;7.9;9,35E+14;delegado 170: ;2.0;1,03E+16
delegado 171: ;6.8;1,01E+16;delegado 171: ;5.5;9,10E+13;delegado 171: ;1.6;1.02E+08;delegado 171: ;5.9;1,04E+16;delegado 171: ;3.7;1,02E+15;delegado 171: ;8.4;8,99E+14;delegado 171: ;0.7;1,03E+16;delegado 171: ;7.9;9,05E+14;delegado 171: ;2.0;1,05E+16
delegado 172: ;6.2;9,99E+14;delegado 172: ;5.5;9,01E+14;delegado 172: ;3.2;1.02E+08;delegado 172: ;3.2;1,04E+16;delegado 172: ;3.4;1,01E+16;delegado 172: ;10.2;9,14E+14;delegado 172: ;18.1;1,07E+16;delegado 172: ;5.0;8,92E+14;delegado 172: ;3.7;1,03E+16
delegado 173: ;6.2;9,87E+14;delegado 173: ;5.5;8,97E+14;delegado 173: ;3.2;1.01E+08;delegado 173: ;3.2;1,01E+16;delegado 173: ;3.4;1,01E+15;delegado 173: ;10.2;8,92E+14;delegado 173: ;18.1;8,91E+14;delegado 173: ;5.0;9,09E+13;delegado 173: ;3.7;1,05E+16
delegado 174: ;6.2;9,88E+14;delegado 174: ;5.5;9,16E+14;delegado 174: ;3.2;1.04E+08;delegado 174: ;3.2;9,88E+14;delegado 174: ;3.4;1,04E+14;delegado 174: ;10.2;9,06E+14;delegado 174: ;18.1;9,06E+14;delegado 174: ;5.0;9,06E+14;delegado 174: ;3.7;1,00E+15
delegado 175: ;11.1;9,85E+13;delegado 175: ;6.9;9,16E+14;delegado 175: ;6.5;1.02E+08;delegado 175: ;4.1;9,85E+13;delegado 175: ;1.3;1,01E+16;delegado 175: ;2.6;9,34E+14;delegado 175: ;16.3;8,98E+14;delegado 175: ;6.1;9,03E+14;delegado 175: ;4.4;1,02E+16
delegado 176: ;11.1;9,85E+14;delegado 176: ;6.9;9,15E+14;delegado 176: ;6.5;9.96E+07;delegado 176: ;4.1;9,88E+14;delegado 176: ;1.3;1,01E+16;delegado 176: ;2.6;9,20E+14;delegado 176: ;16.3;9,02E+14;delegado 176: ;6.1;9,10E+14;delegado 176: ;4.4;1,02E+16
delegado 177: ;11.1;9,71E+14;delegado 177: ;6.9;9,14E+14;delegado 177: ;6.5;1.15E+08;delegado 177: ;4.1;9,90E+14;delegado 177: ;1.3;1,01E+16;delegado 177: ;2.6;9,26E+14;delegado 177: ;16.3;9,15E+14;delegado 177: ;6.1;1,03E+16;delegado 177: ;4.4;1,00E+16
delegado 178: ;7.3;9,77E+14;delegado 178: ;7.9;9,18E+14;delegado 178: ;6.6;1.02E+08;delegado 178: ;4.5;9,68E+14;delegado 178: ;2.0;1,01E+16;delegado 178: ;2.0;9,32E+14;delegado 178: ;3.0;1,01E+16;delegado 178: ;7.7;1,02E+16;delegado 178: ;7.7;1,01E+16
delegado 179: ;7.3;9,70E+14;delegado 179: ;7.9;1,05E+16;delegado 179: ;6.6;9.92E+07;delegado 179: ;4.5;9,70E+14;delegado 179: ;2.0;9,97E+14;delegado 179: ;2.0;9,26E+14;delegado 179: ;3.0;1,02E+16;delegado 179: ;7.7;1,03E+16;delegado 179: ;7.7;9,41E+14
delegado 180: ;7.3;9,72E+14;delegado 180: ;7.9;9,04E+14;delegado 180: ;6.6;1.01E+08;delegado 180: ;4.5;9,87E+14;delegado 180: ;2.0;9,18E+14;delegado 180: ;2.0;8,97E+14;delegado 180: ;3.0;9,77E+14;delegado 180: ;7.7;1,04E+16;delegado 180: ;7.7;9,21E+13
delegado 181: ;6.9;9,70E+14;delegado 181: ;7.8;9,06E+14;delegado 181: ;2.7;9.34E+07;delegado 181: ;3.3;9,74E+14;delegado 181: ;1.6;9,12E+12;delegado 181: ;7.2;9,02E+13;delegado 181: ;3.5;1,01E+16;delegado 181: ;7.0;9,99E+14;delegado 181: ;1.9;9,42E+14
delegado 182: ;6.9;9,74E+14;delegado 182: ;7.8;9,04E+13;delegado 182: ;2.7;9.14E+07;delegado 182: ;3.3;9,75E+14;delegado 182: ;1.6;9,23E+14;delegado 182: ;7.2;9,03E+14;delegado 182: ;3.5;9,83E+14;delegado 182: ;7.0;1,02E+16;delegado 182: ;1.9;9,18E+14
delegado 183: ;6.9;9,28E+14;delegado 183: ;7.8;8,99E+14;delegado 183: ;2.7;9.14E+07;delegado 183: ;3.3;9,75E+14;delegado 183: ;1.6;9,38E+14;delegado 183: ;7.2;9,07E+14;delegado 183: ;3.5;9,89E+14;delegado 183: ;7.0;1,03E+16;delegado 183: ;1.9;9,56E+13
delegado 184: ;6.2;9,25E+14;delegado 184: ;9.0;8,99E+14;delegado 184: ;2.4;9.40E+07;delegado 184: ;2.4;9,72E+14;delegado 184: ;1.7;9,44E+14;delegado 184: ;14.2;9,02E+14;delegado 184: ;4.8;1,03E+16;delegado 184: ;7.5;1,00E+16;delegado 184: ;2.1;9,25E+14
delegado 185: ;6.2;9,24E+14;delegado 185: ;9.0;8,85E+14;delegado 185: ;2.4;9.38E+07;delegado 185: ;2.4;9,40E+14;delegado 185: ;1.7;9,01E+14;delegado 185: ;14.2;9,03E+14;delegado 185: ;4.8;9,22E+14;delegado 185: ;7.5;1,02E+16;delegado 185: ;2.1;9,13E+13
delegado 186: ;6.2;9,25E+14;delegado 186: ;9.0;8,88E+14;delegado 186: ;2.4;9.11E+07;delegado 186: ;2.4;9,64E+14;delegado 186: ;1.7;9,02E+14;delegado 186: ;14.2;9,19E+14;delegado 186: ;4.8;1,01E+16;delegado 186: ;7.5;9,98E+14;delegado 186: ;2.1;9,23E+14
delegado 187: ;7.7;9,24E+14;delegado 187: ;9.4;8,86E+14;delegado 187: ;0;8.90E+07;delegado 187: ;10.3;9,41E+14;delegado 187: ;0.6;8,98E+14;delegado 187: ;8.6;9,40E+14;delegado 187: ;5.2;9,67E+14;delegado 187: ;8.7;9,93E+14;delegado 187: ;0.9;8,98E+14
delegado 188: ;7.7;1,06E+16;delegado 188: ;9.4;8,86E+14;delegado 188: ;0;8.94E+07;delegado 188: ;10.3;9,51E+14;delegado 188: ;0.6;9,00E+14;delegado 188: ;8.6;9,20E+14;delegado 188: ;5.2;1,03E+16;delegado 188: ;8.7;1,00E+15;delegado 188: ;0.9;9,26E+14
delegado 189: ;7.7;9,05E+14;delegado 189: ;9.4;8,89E+14;delegado 189: ;0;9.16E+07;delegado 189: ;10.3;9,39E+14;delegado 189: ;0.6;9,18E+14;delegado 189: ;8.6;9,43E+14;delegado 189: ;5.2;9,21E+14;delegado 189: ;8.7;9,92E+14;delegado 189: ;0.9;9,01E+14
delegado 190: ;9.4;9,09E+14;delegado 190: ;11.0;1,02E+16;delegado 190: ;1;9.16E+07;delegado 190: ;11.1;9,34E+14;delegado 190: ;2.6;8,90E+13;delegado 190: ;3.3;9,49E+14;delegado 190: ;3.8;9,69E+14;delegado 190: ;8.8;1,00E+16;delegado 190: ;1.3;9,04E+14
delegado 191: ;9.4;9,15E+14;delegado 191: ;11.0;1,02E+16;delegado 191: ;1;9.10E+07;delegado 191: ;11.1;9,29E+14;delegado 191: ;2.6;1,06E+16;delegado 191: ;3.3;9,28E+14;delegado 191: ;3.8;1,01E+16;delegado 191: ;8.8;1,00E+16;delegado 191: ;1.3;1,06E+16
delegado 192: ;9.4;9,07E+14;delegado 192: ;11.0;1,02E+16;delegado 192: ;1;1.02E+08;delegado 192: ;11.1;9,35E+14;delegado 192: ;2.6;8,92E+14;delegado 192: ;3.3;9,31E+14;delegado 192: ;3.8;9,17E+14;delegado 192: ;8.8;9,66E+14;delegado 192: ;1.3;1,03E+16
delegado 193: ;6.9;9,15E+14;delegado 193: ;9.0;1,03E+16;delegado 193: ;2.2;1.05E+08;delegado 193: ;11.4;9,30E+14;delegado 193: ;8.2;1,05E+16;delegado 193: ;1.2;9,07E+14;delegado 193: ;3.8;8,94E+14;delegado 193: ;9.2;9,72E+14;delegado 193: ;3.8;9,15E+14
delegado 194: ;6.9;8,95E+14;delegado 194: ;9.0;1,04E+16;delegado 194: ;2.2;1.02E+08;delegado 194: ;11.4;9,32E+14;delegado 194: ;8.2;8,85E+14;delegado 194: ;1.2;9,13E+14;delegado 194: ;3.8;9,19E+14;delegado 194: ;9.2;9,81E+13;delegado 194: ;3.8;9,14E+14
delegado 195: ;6.9;9,00E+14;delegado 195: ;9.0;9,89E+14;delegado 195: ;2.2;1.05E+08;delegado 195: ;11.4;9,17E+14;delegado 195: ;8.2;9,02E+14;delegado 195: ;1.2;9,33E+14;delegado 195: ;3.8;8,87E+14;delegado 195: ;9.2;9,76E+13;delegado 195: ;3.8;1,04E+16
delegado 196: ;8.4;8,95E+13;delegado 196: ;7.9;1,00E+16;delegado 196: ;2.2;1.05E+08;delegado 196: ;4.4;9,09E+14;delegado 196: ;8.8;1,03E+16;delegado 196: ;1.7;9,29E+14;delegado 196: ;1.2;8,96E+14;delegado 196: ;7.1;9,83E+14;delegado 196: ;1.5;1,04E+15
delegado 197: ;8.4;1,03E+16;delegado 197: ;7.9;9,91E+14;delegado 197: ;2.2;1.03E+08;delegado 197: ;4.4;9,35E+14;delegado 197: ;8.8;1,02E+16;delegado 197: ;1.7;9,06E+14;delegado 197: ;1.2;1,04E+16;delegado 197: ;7.1;9,36E+14;delegado 197: ;1.5;1,02E+16
delegado 198: ;8.4;8,98E+14;delegado 198: ;7.9;1,01E+16;delegado 198: ;2.2;1.01E+08;delegado 198: ;4.4;9,40E+14;delegado 198: ;8.8;1,05E+16;delegado 198: ;1.7;9,12E+14;delegado 198: ;1.2;1,05E+16;delegado 198: ;7.1;9,34E+14;delegado 198: ;1.5;1,04E+16
delegado 199: ;9.8;9,21E+13;delegado 199: ;8.6;1,01E+16;delegado 199: ;2.2;1.03E+08;delegado 199: ;4.7;9,23E+14;delegado 199: ;9.3;1,03E+16;delegado 199: ;2.4;8,99E+14;delegado 199: ;2.2;9,99E+14;delegado 199: ;7.2;9,27E+14;delegado 199: ;1.8;1,02E+16
delegado 200: ;9.8;9,33E+14;delegado 200: ;8.6;9,99E+14;delegado 200: ;2.2;1.01E+08;delegado 200: ;4.7;9,22E+14;delegado 200: ;9.3;1,03E+16;delegado 200: ;2.4;9,06E+14;delegado 200: ;2.2;1,00E+14;delegado 200: ;7.2;9,24E+13;delegado 200: ;1.8;1,01E+16
delegado 201: ;9.8;9,21E+14;delegado 201: ;8.6;9,25E+14;delegado 201: ;2.2;1.03E+08;delegado 201: ;4.7;9,00E+14;delegado 201: ;9.3;1,00E+16;delegado 201: ;2.4;8,91E+14;delegado 201: ;2.2;1,01E+16;delegado 201: ;7.2;9,38E+14;delegado 201: ;1.8;1,01E+16
delegado 202: ;10.7;9,22E+14;delegado 202: ;7.6;9,14E+14;delegado 202: ;2.8;9.94E+07;delegado 202: ;5.0;9,20E+14;delegado 202: ;6.7;1,02E+16;delegado 202: ;4.3;1,04E+16;delegado 202: ;2.7;1,02E+16;delegado 202: ;6.4;9,02E+13;delegado 202: ;1.2;1,02E+16
delegado 203: ;10.7;9,20E+14;delegado 203: ;7.6;9,36E+14;delegado 203: ;2.8;9.95E+07;delegado 203: ;5.0;9,19E+14;delegado 203: ;6.7;1,02E+15;delegado 203: ;4.3;1,04E+16;delegado 203: ;2.7;1,01E+16;delegado 203: ;6.4;9,14E+14;delegado 203: ;1.2;1,02E+16
delegado 204: ;10.7;9,03E+14;delegado 204: ;7.6;9,28E+14;delegado 204: ;2.8;1.01E+08;delegado 204: ;5.0;9,02E+13;delegado 204: ;6.7;1,03E+16;delegado 204: ;4.3;1,04E+16;delegado 204: ;2.7;1,02E+16;delegado 204: ;6.4;8,95E+14;delegado 204: ;1.2;9,86E+14
delegado 205: ;13.5;9,02E+14;delegado 205: ;6.5;9,48E+14;delegado 205: ;3;1.04E+08;delegado 205: ;2.4;9,31E+14;delegado 205: ;5.9;1,04E+15;delegado 205: ;3.4;1,02E+16;delegado 205: ;4.4;9,80E+14;delegado 205: ;9.4;8,95E+14;delegado 205: ;4.0;9,62E+14
delegado 206: ;13.5;8,97E+14;delegado 206: ;6.5;9,20E+14;delegado 206: ;3;1.02E+08;delegado 206: ;2.4;9,01E+14;delegado 206: ;5.9;1,01E+16;delegado 206: ;3.4;1,04E+16;delegado 206: ;4.4;9,84E+14;delegado 206: ;9.4;9,01E+14;delegado 206: ;4.0;9,87E+14
delegado 207: ;13.5;9,06E+14;delegado 207: ;6.5;9,14E+13;delegado 207: ;3;9.14E+07;delegado 207: ;2.4;1,05E+16;delegado 207: ;5.9;9,89E+14;delegado 207: ;3.4;1,01E+16;delegado 207: ;4.4;9,92E+13;delegado 207: ;9.4;9,00E+14;delegado 207: ;4.0;9,88E+14
delegado 208: ;6.6;8,87E+14;delegado 208: ;9.7;9,20E+14;delegado 208: ;2.3;8.97E+07;delegado 208: ;2.6;8,85E+14;delegado 208: ;1.6;1,01E+16;delegado 208: ;3.2;1,01E+15;delegado 208: ;6.1;9,69E+14;delegado 208: ;4.7;1,06E+16;delegado 208: ;4.5;9,94E+14
delegado 209: ;6.6;9,02E+14;delegado 209: ;9.7;1,00E+16;delegado 209: ;2.3;9.28E+07;delegado 209: ;2.6;8,80E+14;delegado 209: ;1.6;1,01E+16;delegado 209: ;3.2;1,01E+15;delegado 209: ;6.1;9,73E+13;delegado 209: ;4.7;8,94E+14;delegado 209: ;4.5;9,62E+14
delegado 210: ;6.6;9,32E+14;delegado 210: ;9.7;1,00E+16;delegado 210: ;2.3;9.23E+07;delegado 210: ;2.6;9,11E+14;delegado 210: ;1.6;9,85E+14;delegado 210: ;3.2;9,90E+14;delegado 210: ;6.1;9,75E+14;delegado 210: ;4.7;8,78E+14;delegado 210: ;4.5;9,65E+14
delegado 211: ;6.2;9,37E+14;delegado 211: ;7.9;9,97E+14;delegado 211: ;2.3;9.26E+07;delegado 211: ;3.0;9,40E+14;delegado 211: ;7.6;9,23E+14;delegado 211: ;12.8;9,92E+14;delegado 211: ;21.9;9,50E+14;delegado 211: ;3.8;8,97E+14;delegado 211: ;3.5;9,40E+14
delegado 212: ;6.2;9,43E+14;delegado 212: ;7.9;1,03E+16;delegado 212: ;2.3;1.02E+08;delegado 212: ;3.0;9,23E+14;delegado 212: ;7.6;9,21E+14;delegado 212: ;12.8;9,92E+13;delegado 212: ;21.9;9,52E+14;delegado 212: ;3.8;1,04E+16;delegado 212: ;3.5;9,69E+14
delegado 213: ;6.2;9,19E+14;delegado 213: ;7.9;9,92E+13;delegado 213: ;2.3;9.99E+07;delegado 213: ;3.0;9,35E+12;delegado 213: ;7.6;9,34E+14;delegado 213: ;12.8;1,01E+16;delegado 213: ;21.9;9,66E+14;delegado 213: ;3.8;9,41E+14;delegado 213: ;3.5;9,70E+14
delegado 214: ;6.2;9,19E+14;delegado 214: ;6.4;9,79E+14;delegado 214: ;3.1;1.01E+08;delegado 214: ;1.3;9,57E+14;delegado 214: ;8.7;9,16E+14;delegado 214: ;8.4;9,99E+14;delegado 214: ;10.4;9,73E+13;delegado 214: ;5.7;9,38E+14;delegado 214: ;1.7;9,72E+14
delegado 215: ;6.2;8,97E+13;delegado 215: ;6.4;1,00E+16;delegado 215: ;3.1;1.01E+08;delegado 215: ;1.3;9,41E+14;delegado 215: ;8.7;9,24E+14;delegado 215: ;8.4;9,77E+14;delegado 215: ;10.4;9,56E+14;delegado 215: ;5.7;9,48E+14;delegado 215: ;1.7;9,54E+14
delegado 216: ;6.2;9,16E+14;delegado 216: ;6.4;9,89E+14;delegado 216: ;3.1;1.01E+08;delegado 216: ;1.3;9,05E+14;delegado 216: ;8.7;9,25E+13;delegado 216: ;8.4;9,87E+14;delegado 216: ;10.4;9,40E+14;delegado 216: ;5.7;9,32E+14;delegado 216: ;1.7;9,50E+14
delegado 217: ;4.8;9,10E+14;delegado 217: ;6.4;9,80E+14;delegado 217: ;9.8;8.37E+07;delegado 217: ;2.3;8,89E+14;delegado 217: ;8.3;9,21E+14;delegado 217: ;3.7;9,87E+14;delegado 217: ;7.6;9,38E+13;delegado 217: ;7.0;9,28E+14;delegado 217: ;1.0;9,30E+13
delegado 218: ;4.8;9,10E+14;delegado 218: ;6.4;9,62E+14;delegado 218: ;9.8;8.28E+07;delegado 218: ;2.3;9,14E+14;delegado 218: ;8.3;9,22E+13;delegado 218: ;3.7;9,35E+14;delegado 218: ;7.6;9,39E+14;delegado 218: ;7.0;9,28E+14;delegado 218: ;1.0;9,55E+13
delegado 219: ;4.8;9,00E+14;delegado 219: ;6.4;9,83E+14;delegado 219: ;9.8;8.43E+07;delegado 219: ;2.3;9,19E+14;delegado 219: ;8.3;9,27E+14;delegado 219: ;3.7;9,17E+14;delegado 219: ;7.6;9,33E+14;delegado 219: ;7.0;9,29E+14;delegado 219: ;1.0;9,54E+14
delegado 220: ;8.6;9,24E+14;delegado 220: ;8.6;9,76E+14;delegado 220: ;9.2;8.32E+07;delegado 220: ;3.4;9,05E+14;delegado 220: ;0.0;9,29E+14;delegado 220: ;1.4;9,17E+14;delegado 220: ;5.0;9,34E+14;delegado 220: ;1.7;9,03E+14;delegado 220: ;0.3;9,33E+14
delegado 221: ;8.6;9,23E+13;delegado 221: ;8.6;9,77E+14;delegado 221: ;9.2;8.45E+07;delegado 221: ;3.4;9,16E+14;delegado 221: ;0.0;9,23E+14;delegado 221: ;1.4;9,39E+14;delegado 221: ;5.0;9,36E+14;delegado 221: ;1.7;9,30E+14;delegado 221: ;0.3;9,26E+14
delegado 222: ;8.6;9,17E+14;delegado 222: ;8.6;9,68E+14;delegado 222: ;9.2;8.21E+07;delegado 222: ;3.4;8,99E+14;delegado 222: ;0.0;9,48E+13;delegado 222: ;1.4;9,33E+14;delegado 222: ;5.0;9,44E+14;delegado 222: ;1.7;9,21E+14;delegado 222: ;0.3;9,07E+14
delegado 223: ;6.2;9,44E+14;delegado 223: ;9.7;9,24E+14;delegado 223: ;7.7;8.66E+07;delegado 223: ;0.6;9,04E+14;delegado 223: ;4.8;9,42E+14;delegado 223: ;2.0;9,24E+14;delegado 223: ;4.6;9,22E+14;delegado 223: ;7.2;9,33E+14;delegado 223: ;1.1;9,34E+14
delegado 224: ;6.2;9,21E+14;delegado 224: ;9.7;9,22E+14;delegado 224: ;7.7;8.21E+07;delegado 224: ;0.6;1,05E+16;delegado 224: ;4.8;9,33E+14;delegado 224: ;2.0;9,04E+13;delegado 224: ;4.6;9,24E+14;delegado 224: ;7.2;9,14E+14;delegado 224: ;1.1;9,36E+14
delegado 225: ;6.2;9,27E+14;delegado 225: ;9.7;9,36E+14;delegado 225: ;7.7;8.28E+07;delegado 225: ;0.6;8,92E+14;delegado 225: ;4.8;9,40E+14;delegado 225: ;2.0;9,27E+13;delegado 225: ;4.6;9,10E+14;delegado 225: ;7.2;9,20E+14;delegado 225: ;1.1;9,31E+14
delegado 226: ;9.0;8,87E+14;delegado 226: ;6.2;9,44E+14;delegado 226: ;8;8.46E+07;delegado 226: ;4.7;8,85E+14;delegado 226: ;5.2;9,19E+14;delegado 226: ;1.7;9,08E+14;delegado 226: ;5.6;9,43E+14;delegado 226: ;7.7;9,21E+13;delegado 226: ;1.3;9,17E+14
delegado 227: ;9.0;9,08E+14;delegado 227: ;6.2;9,22E+14;delegado 227: ;8;8.43E+07;delegado 227: ;4.7;1,04E+16;delegado 227: ;5.2;8,97E+14;delegado 227: ;1.7;9,27E+14;delegado 227: ;5.6;9,21E+14;delegado 227: ;7.7;9,15E+14;delegado 227: ;1.3;8,92E+14
delegado 228: ;9.0;8,93E+14;delegado 228: ;6.2;9,14E+14;delegado 228: ;8;8.26E+07;delegado 228: ;4.7;1,02E+16;delegado 228: ;5.2;9,04E+14;delegado 228: ;1.7;9,28E+14;delegado 228: ;5.6;9,00E+14;delegado 228: ;7.7;9,17E+14;delegado 228: ;1.3;9,17E+14
delegado 229: ;6.9;8,83E+14;delegado 229: ;7.3;9,12E+13;delegado 229: ;14.4;8.28E+07;delegado 229: ;7.3;1,02E+16;delegado 229: ;0.0;9,14E+14;delegado 229: ;1.7;9,16E+14;delegado 229: ;5.2;9,17E+14;delegado 229: ;6.2;9,00E+14;delegado 229: ;3.4;9,16E+14
delegado 230: ;6.9;8,98E+14;delegado 230: ;7.3;9,06E+14;delegado 230: ;14.4;8.39E+07;delegado 230: ;7.3;1,01E+16;delegado 230: ;0.0;9,17E+14;delegado 230: ;1.7;9,03E+14;delegado 230: ;5.2;9,09E+14;delegado 230: ;6.2;9,03E+14;delegado 230: ;3.4;9,21E+14
delegado 231: ;6.9;8,90E+12;delegado 231: ;7.3;9,05E+14;delegado 231: ;14.4;8.56E+07;delegado 231: ;7.3;1,04E+16;delegado 231: ;0.0;9,18E+14;delegado 231: ;1.7;8,90E+14;delegado 231: ;5.2;9,13E+13;delegado 231: ;6.2;8,92E+14;delegado 231: ;3.4;9,35E+14
delegado 232: ;4.2;9,17E+14;delegado 232: ;5.5;9,05E+14;delegado 232: ;14;8.48E+07;delegado 232: ;6.5;1,01E+16;delegado 232: ;6.1;8,97E+14;delegado 232: ;2.2;9,14E+14;delegado 232: ;4.4;9,11E+13;delegado 232: ;6.9;9,07E+14;delegado 232: ;2.9;9,38E+14
delegado 233: ;4.2;9,28E+13;delegado 233: ;5.5;9,18E+13;delegado 233: ;14;8.39E+07;delegado 233: ;6.5;9,87E+14;delegado 233: ;6.1;9,16E+13;delegado 233: ;2.2;9,09E+14;delegado 233: ;4.4;9,04E+14;delegado 233: ;6.9;8,80E+13;delegado 233: ;2.9;9,38E+13
