;Experimento 1;;;Experimento 2;;;Experimento 3;;;Experimento 4;;;Experimento 5;;;Experimento 6;;;Experimento 7;;;Experimento 8;;;Experimento 9;
delegado;memoria;tiempo;delegado;memoria;tiempo;Delegado;Memoria;Tiempo;Delegado;Memoria;Tiempo;delegado;Memoria;tiempo;delegado;memoria;tiempo;delegado;maquina;tiempo;delegado;memoria;tiempo;delegado;memoria;tiempo
delegado 27: ;1.3;9,74E+14;delegado 27: ;2.4;9,19E+14;delegado 27: ;24.9;9.30E+07;delegado 27: ;2.8;9,83E+14;delegado 27: ;4.4;9,27E+13;delegado 27: ;9.4;9,09E+14;delegado 27: ;5.8;9,59E+14;delegado 27: ;27.0;1,02E+16;delegado 27: ;29.9;9,50E+14
delegado 28: ;1.7;9,61E+13;delegado 28: ;3.6;8,98E+14;delegado 28: ;6.7;8.83E+07;delegado 28: ;4.2;1,01E+15;delegado 28: ;3.5;8,89E+14;delegado 28: ;3.4;9,13E+13;delegado 28: ;4.3;1,02E+16;delegado 28: ;14.6;1,02E+16;delegado 28: ;6.6;9,65E+14
delegado 29: ;1.7;9,58E+14;delegado 29: ;3.6;1,06E+16;delegado 29: ;6.7;9.15E+07;delegado 29: ;4.2;9,99E+14;delegado 29: ;3.5;9,06E+14;delegado 29: ;3.4;9,05E+14;delegado 29: ;4.3;9,96E+14;delegado 29: ;14.6;9,81E+14;delegado 29: ;6.6;9,49E+14
delegado 30: ;1.7;9,91E+14;delegado 30: ;3.6;9,07E+14;delegado 30: ;6.7;8.96E+07;delegado 30: ;4.2;9,79E+14;delegado 30: ;3.5;9,15E+14;delegado 30: ;3.4;9,06E+14;delegado 30: ;4.3;9,87E+14;delegado 30: ;14.6;9,58E+14;delegado 30: ;6.6;9,58E+13
delegado 31: ;3.6;9,45E+14;delegado 31: ;1.4;8,93E+13;delegado 31: ;3.8;9.13E+07;delegado 31: ;5.9;9,87E+14;delegado 31: ;2.3;8,91E+14;delegado 31: ;3.0;9,21E+14;delegado 31: ;4.2;9,68E+14;delegado 31: ;3.5;9,75E+13;delegado 31: ;5.2;9,85E+14
delegado 32: ;3.6;9,69E+13;delegado 32: ;1.4;9,02E+14;delegado 32: ;3.8;9.11E+07;delegado 32: ;5.9;1,01E+16;delegado 32: ;2.3;9,09E+14;delegado 32: ;3.0;8,93E+14;delegado 32: ;4.2;1,02E+16;delegado 32: ;3.5;9,84E+14;delegado 32: ;5.2;9,47E+14
delegado 33: ;3.6;9,50E+14;delegado 33: ;1.4;1,04E+16;delegado 33: ;3.8;1.04E+08;delegado 33: ;5.9;9,77E+14;delegado 33: ;2.3;1,02E+16;delegado 33: ;3.0;9,07E+14;delegado 33: ;4.2;9,74E+13;delegado 33: ;3.5;9,94E+13;delegado 33: ;5.2;9,38E+14
delegado 34: ;2.3;9,49E+14;delegado 34: ;2.8;1,04E+16;delegado 34: ;6.2;1.04E+08;delegado 34: ;5.3;9,79E+14;delegado 34: ;6.7;1,02E+16;delegado 34: ;2.4;8,82E+14;delegado 34: ;18.7;9,61E+14;delegado 34: ;4.8;9,15E+14;delegado 34: ;4.3;9,29E+14
delegado 35: ;2.3;9,22E+14;delegado 35: ;2.8;1,02E+16;delegado 35: ;6.2;1.05E+08;delegado 35: ;5.3;9,77E+14;delegado 35: ;6.7;1,05E+16;delegado 35: ;2.4;8,91E+14;delegado 35: ;18.7;9,61E+14;delegado 35: ;4.8;1,01E+16;delegado 35: ;4.3;9,42E+13
delegado 36: ;2.3;9,52E+14;delegado 36: ;2.8;1,02E+16;delegado 36: ;6.2;1.04E+08;delegado 36: ;5.3;9,70E+14;delegado 36: ;6.7;1,02E+15;delegado 36: ;2.4;1,03E+16;delegado 36: ;18.7;1,00E+16;delegado 36: ;4.8;9,79E+14;delegado 36: ;4.3;9,38E+14
delegado 37: ;6.3;9,30E+14;delegado 37: ;3.9;9,33E+14;delegado 37: ;3.5;8.85E+07;delegado 37: ;7.6;9,61E+14;delegado 37: ;4.1;1,01E+16;delegado 37: ;3.2;1,06E+16;delegado 37: ;16.6;1,10E+16;delegado 37: ;3.7;9,99E+14;delegado 37: ;4.8;9,36E+14
delegado 38: ;6.3;9,12E+14;delegado 38: ;3.9;1,00E+16;delegado 38: ;3.5;1.01E+08;delegado 38: ;7.6;1,06E+16;delegado 38: ;4.1;9,64E+14;delegado 38: ;3.2;1,04E+16;delegado 38: ;16.6;9,42E+14;delegado 38: ;3.7;1,05E+16;delegado 38: ;4.8;9,41E+14
delegado 39: ;6.3;8,97E+14;delegado 39: ;3.9;9,68E+14;delegado 39: ;3.5;1.01E+08;delegado 39: ;7.6;1,04E+16;delegado 39: ;4.1;9,64E+14;delegado 39: ;3.2;1,03E+16;delegado 39: ;16.6;1,03E+16;delegado 39: ;3.7;1,02E+16;delegado 39: ;4.8;9,13E+14
delegado 40: ;2.3;8,97E+13;delegado 40: ;2.1;1,01E+16;delegado 40: ;3.8;1.04E+08;delegado 40: ;6.0;1,20E+16;delegado 40: ;4.5;9,52E+14;delegado 40: ;6.4;1,03E+15;delegado 40: ;18.0;1,02E+16;delegado 40: ;4.7;1,06E+16;delegado 40: ;4.7;9,13E+14
delegado 41: ;2.3;9,00E+14;delegado 41: ;2.1;9,32E+14;delegado 41: ;3.8;1.02E+08;delegado 41: ;6.0;1,01E+16;delegado 41: ;4.5;9,55E+13;delegado 41: ;6.4;1,02E+16;delegado 41: ;18.0;1,03E+15;delegado 41: ;4.7;8,81E+14;delegado 41: ;4.7;9,17E+14
delegado 42: ;2.3;9,32E+14;delegado 42: ;2.1;9,08E+14;delegado 42: ;3.8;1.08E+08;delegado 42: ;6.0;1,05E+16;delegado 42: ;4.5;9,62E+14;delegado 42: ;6.4;1,04E+16;delegado 42: ;18.0;9,96E+14;delegado 42: ;4.7;1,04E+16;delegado 42: ;4.7;9,23E+14
delegado 43: ;2.9;1,05E+16;delegado 43: ;4.0;9,05E+14;delegado 43: ;10.2;1.01E+08;delegado 43: ;5.7;1,18E+16;delegado 43: ;8.0;9,34E+14;delegado 43: ;4.6;1,03E+16;delegado 43: ;15.9;8,85E+14;delegado 43: ;3.5;1,02E+16;delegado 43: ;3.3;8,95E+14
delegado 44: ;2.9;9,78E+14;delegado 44: ;4.0;9,20E+13;delegado 44: ;10.2;1.01E+08;delegado 44: ;5.7;1,19E+16;delegado 44: ;8.0;9,37E+14;delegado 44: ;4.6;1,01E+16;delegado 44: ;15.9;1,01E+16;delegado 44: ;3.5;9,73E+14;delegado 44: ;3.3;9,14E+14
delegado 45: ;2.9;9,88E+13;delegado 45: ;4.0;9,61E+14;delegado 45: ;10.2;1.05E+08;delegado 45: ;5.7;1,21E+16;delegado 45: ;8.0;1,07E+16;delegado 45: ;4.6;1,03E+16;delegado 45: ;15.9;9,97E+14;delegado 45: ;3.5;9,95E+14;delegado 45: ;3.3;9,17E+14
delegado 46: ;6.1;9,87E+14;delegado 46: ;8.4;9,52E+14;delegado 46: ;5.7;1.02E+08;delegado 46: ;2.3;1,01E+16;delegado 46: ;42.6;9,40E+14;delegado 46: ;3.4;1,04E+16;delegado 46: ;14.2;1,00E+15;delegado 46: ;4.4;9,70E+14;delegado 46: ;3.7;9,33E+14
delegado 47: ;6.1;1,02E+16;delegado 47: ;8.4;9,57E+13;delegado 47: ;5.7;1.01E+08;delegado 47: ;2.3;1,18E+15;delegado 47: ;42.6;9,35E+14;delegado 47: ;3.4;1,03E+16;delegado 47: ;14.2;9,79E+14;delegado 47: ;4.4;9,43E+14;delegado 47: ;3.7;1,04E+16
delegado 48: ;6.1;9,51E+14;delegado 48: ;8.4;9,50E+13;delegado 48: ;5.7;9.97E+07;delegado 48: ;2.3;1,18E+16;delegado 48: ;42.6;9,16E+14;delegado 48: ;3.4;9,98E+14;delegado 48: ;14.2;9,11E+14;delegado 48: ;4.4;9,88E+13;delegado 48: ;3.7;1,05E+16
delegado 49: ;10.5;9,48E+14;delegado 49: ;8.0;9,26E+14;delegado 49: ;10.4;1.00E+08;delegado 49: ;2.6;1,03E+15;delegado 49: ;10.7;9,35E+14;delegado 49: ;2.2;1,01E+16;delegado 49: ;4.1;9,66E+14;delegado 49: ;4.5;9,88E+14;delegado 49: ;4.9;1,05E+16
delegado 50: ;10.5;9,50E+14;delegado 50: ;8.0;9,00E+14;delegado 50: ;10.4;9.96E+07;delegado 50: ;2.6;9,39E+14;delegado 50: ;10.7;9,27E+14;delegado 50: ;2.2;1,01E+16;delegado 50: ;4.1;9,96E+14;delegado 50: ;4.5;1,01E+16;delegado 50: ;4.9;1,04E+16
delegado 51: ;10.5;9,55E+14;delegado 51: ;8.0;9,51E+14;delegado 51: ;10.4;9.87E+07;delegado 51: ;2.6;9,13E+14;delegado 51: ;10.7;9,49E+14;delegado 51: ;2.2;1,01E+16;delegado 51: ;4.1;1,01E+16;delegado 51: ;4.5;9,51E+14;delegado 51: ;4.9;1,01E+14
delegado 52: ;11.4;9,66E+14;delegado 52: ;7.2;9,55E+14;delegado 52: ;11.1;1.01E+08;delegado 52: ;3.1;9,07E+13;delegado 52: ;5.3;9,66E+14;delegado 52: ;5.5;1,01E+16;delegado 52: ;4.1;9,79E+13;delegado 52: ;2.2;1,04E+15;delegado 52: ;5.4;1,03E+16
