delegado;Memoria;Tiempo
delegado 301: ;6,1;5,86805E+15
delegado 302: ;6,1;4,76559E+15
delegado 303: ;6,1;3,72813E+15
delegado 304: ;5,9;2,8458E+15
delegado 305: ;6,7;4,83356E+15
delegado 306: ;6,7;3,81426E+15
delegado 307: ;8,4;4,82561E+15
delegado 308: ;8,3;3,71011E+15
delegado 309: ;8,3;3,71478E+15
delegado 310: ;8,0;3,68815E+15
delegado 311: ;8,3;4,90628E+15
delegado 312: ;8,3;2,53751E+15
delegado 313: ;8,6;1,7582E+15
delegado 314: ;7,9;3,78609E+15
delegado 315: ;7,9;5,81728E+15
delegado 316: ;6,2;4,75131E+15
delegado 317: ;6,6;2,70663E+15
delegado 318: ;6,6;4,84638E+15
delegado 319: ;6,4;3,70709E+15
delegado 320: ;5,7;3,84923E+15
delegado 321: ;5,7;3,69042E+15
delegado 322: ;6,0;5,87623E+15
delegado 323: ;6,0;4,81233E+15
delegado 324: ;6,0;4,86826E+15
delegado 325: ;6,2;3,83276E+15
delegado 326: ;6,6;3,75261E+15
delegado 327: ;6,6;3,77177E+15
delegado 328: ;6,6;3,78268E+15
delegado 329: ;6,0;3,7141E+15
delegado 330: ;6,0;3,5481E+15
delegado 331: ;6,1;3,78976E+15
delegado 332: ;6,3;3,67077E+15
delegado 333: ;6,3;5,83632E+15
delegado 334: ;6,5;3,80876E+15
delegado 335: ;6,9;4,82112E+15
delegado 336: ;6,9;3,83279E+15
delegado 337: ;5,9;3,64766E+15
delegado 338: ;5,2;5,25074E+15
delegado 339: ;5,2;2,70446E+15
delegado 340: ;6,2;2,78E+15
delegado 341: ;5,8;5,28618E+15
delegado 342: ;5,8;4,15121E+15
delegado 343: ;6,0;4,14004E+15
delegado 344: ;6,3;4,16133E+15
delegado 345: ;6,3;4,09658E+15
delegado 346: ;8,0;5,23391E+15
delegado 347: ;8,3;4,07989E+15
delegado 348: ;8,3;4,03037E+15
delegado 349: ;6,6;7,26665E+15
delegado 350: ;12,2;4,2196E+15
delegado 351: ;12,2;6,06272E+15
delegado 352: ;12,8;4,95384E+15
delegado 353: ;9,1;7,43962E+15
delegado 354: ;9,1;6,22291E+15
delegado 355: ;7,6;4,99867E+15
delegado 356: ;7,5;6,20307E+15
delegado 357: ;7,5;4,10E+15
delegado 358: ;5,0;2,99E+15
delegado 359: ;4,9;2,97E+15
delegado 360: ;4,9;3,91109E+15
delegado 361: ;5,2;3,96887E+15
delegado 362: ;4,8;4,05809E+15
delegado 363: ;4,8;2,73297E+15
delegado 364: ;4,9;4,93106E+15
delegado 365: ;4,5;2,85396E+15
delegado 366: ;4,5;3,85079E+15
delegado 367: ;6,0;5,02051E+15
delegado 368: ;6,5;3,8592E+15
delegado 369: ;6,5;2,76555E+15
delegado 370: ;6,7;3,91584E+15
delegado 371: ;5,9;3,96767E+15
delegado 372: ;5,9;2,81259E+15
delegado 373: ;4,6;2,84731E+15
delegado 374: ;4,4;3,0676E+15
delegado 375: ;4,4;2,9452E+15
delegado 376: ;5,0;2,90133E+15
delegado 377: ;5,8;4,00381E+15
delegado 378: ;5,8;4,97596E+15
delegado 379: ;5,7;5,13074E+15
delegado 380: ;5,1;1,94075E+15
delegado 381: ;5,1;2,83978E+15
delegado 382: ;5,1;3,0275E+15
delegado 383: ;5,9;2,97E+15
delegado 384: ;5,9;4,97045E+15
delegado 385: ;5,6;4,00038E+15
delegado 386: ;5,8;3,96127E+15
delegado 387: ;5,8;6,0925E+15
delegado 388: ;6,6;6,09789E+15
delegado 389: ;6,1;3,14264E+15
delegado 390: ;6,1;6,24592E+15
delegado 391: ;6,3;5,0643E+15
delegado 392: ;5,4;7,1862E+15
delegado 393: ;5,4;6,32405E+15
delegado 394: ;3,8;7,04265E+15
delegado 395: ;4,9;5,20606E+15
delegado 396: ;4,9;6,04585E+15
delegado 397: ;5,3;5,07467E+15
delegado 398: ;6,9;4,9829E+15
delegado 399: ;6,9;3,96349E+15
